Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn,Risk_Level
12346.0,326,12,77556.46,2,5,5,255,At Risk,1,High Risk
12402.0,323,6,1256.9,2,4,4,244,At Risk,1,High Risk
12414.0,217,6,952.41,2,4,3,243,At Risk,1,Medium Risk
12482.0,576,29,23691.4,1,5,5,155,At Risk,1,High Risk
12549.0,576,6,1575.68,1,4,4,144,At Risk,1,High Risk
12573.0,227,5,717.41,2,4,3,243,At Risk,1,Medium Risk
12601.0,190,6,681.26,2,4,3,243,At Risk,1,Medium Risk
12623.0,276,7,3747.84,2,4,5,245,At Risk,1,Medium Risk
12755.0,281,11,5236.259999999999,2,5,5,255,At Risk,1,Medium Risk
12765.0,472,6,1404.58,1,4,4,144,At Risk,1,High Risk
12791.0,374,6,863.51,2,4,3,243,At Risk,1,High Risk
12811.0,261,5,1033.9,2,4,3,243,At Risk,1,Medium Risk
12835.0,428,41,5996.83,1,5,5,155,At Risk,1,High Risk
12857.0,211,6,3688.0,2,4,5,245,At Risk,1,Medium Risk
12872.0,327,12,3283.96,2,5,5,255,At Risk,1,High Risk
12932.0,539,8,1698.56,1,4,4,144,At Risk,1,High Risk
12975.0,437,6,2100.09,1,4,4,144,At Risk,1,High Risk
12976.0,212,8,3156.38,2,4,5,245,At Risk,1,Medium Risk
12978.0,385,5,2502.82,2,4,4,244,At Risk,1,High Risk
12982.0,243,8,2744.81,2,4,4,244,At Risk,1,Medium Risk
12986.0,429,10,2729.84,1,5,4,154,At Risk,1,High Risk
13019.0,379,6,1229.95,2,4,4,244,At Risk,1,High Risk
13031.0,407,5,3292.84,2,4,5,245,At Risk,1,High Risk
13044.0,291,11,4848.05,2,5,5,255,At Risk,1,Medium Risk
13052.0,212,7,3119.33,2,4,5,245,At Risk,1,Medium Risk
13059.0,250,10,2291.77,2,5,4,254,At Risk,1,Medium Risk
13065.0,373,5,1055.05,2,4,3,243,At Risk,1,High Risk
13093.0,276,55,54144.25,2,5,5,255,At Risk,1,Medium Risk
13152.0,417,7,2146.38,1,4,4,144,At Risk,1,High Risk
13202.0,394,7,1580.3,2,4,4,244,At Risk,1,High Risk
13206.0,400,13,8308.19,2,5,5,255,At Risk,1,High Risk
13214.0,418,7,3264.23,1,4,5,145,At Risk,1,High Risk
13223.0,200,6,969.1200000000001,2,4,3,243,At Risk,1,Medium Risk
13239.0,262,5,1594.69,2,4,4,244,At Risk,1,Medium Risk
13243.0,203,5,1220.38,2,4,3,243,At Risk,1,Medium Risk
13288.0,443,5,927.61,1,4,3,143,At Risk,1,High Risk
13293.0,392,6,1192.94,2,4,3,243,At Risk,1,High Risk
13346.0,463,6,299.4,1,4,2,142,At Risk,1,High Risk
13357.0,257,5,3805.5099999999998,2,4,5,245,At Risk,1,Medium Risk
13382.0,281,5,1387.58,2,4,4,244,At Risk,1,Medium Risk
13413.0,640,6,429.44,1,4,2,142,At Risk,1,High Risk
13440.0,423,7,1295.25,1,4,4,144,At Risk,1,High Risk
13443.0,449,6,1273.16,1,4,4,144,At Risk,1,High Risk
13446.0,430,11,3881.89,1,5,5,155,At Risk,1,High Risk
13462.0,253,5,1153.85,2,4,3,243,At Risk,1,Medium Risk
13478.0,469,5,2215.78,1,4,4,144,At Risk,1,High Risk
13485.0,233,11,3019.2200000000003,2,5,5,255,At Risk,1,Medium Risk
13497.0,283,6,1166.83,2,4,3,243,At Risk,1,Medium Risk
13506.0,316,5,1338.08,2,4,4,244,At Risk,1,High Risk
13531.0,205,6,1433.07,2,4,4,244,At Risk,1,Medium Risk
13542.0,377,17,3959.4900000000002,2,5,5,255,At Risk,1,High Risk
13554.0,380,7,1629.35,2,4,4,244,At Risk,1,High Risk
13561.0,216,11,1803.4,2,5,4,254,At Risk,1,Medium Risk
13613.0,453,5,1039.8500000000001,1,4,3,143,At Risk,1,High Risk
13615.0,319,8,6272.53,2,4,5,245,At Risk,1,High Risk
13641.0,641,5,1016.47,1,4,3,143,At Risk,1,High Risk
13648.0,400,8,1764.02,2,4,4,244,At Risk,1,High Risk
13649.0,257,6,1453.68,2,4,4,244,At Risk,1,Medium Risk
13659.0,206,12,4884.68,2,5,5,255,At Risk,1,Medium Risk
13693.0,374,9,2011.82,2,5,4,254,At Risk,1,High Risk
13707.0,267,5,3365.86,2,4,5,245,At Risk,1,Medium Risk
13711.0,219,9,1792.26,2,5,4,254,At Risk,1,Medium Risk
13715.0,281,17,8153.04,2,5,5,255,At Risk,1,Medium Risk
13723.0,217,6,1194.08,2,4,3,243,At Risk,1,Medium Risk
13740.0,241,5,1582.77,2,4,4,244,At Risk,1,Medium Risk
13762.0,219,5,2472.48,2,4,4,244,At Risk,1,Medium Risk
13786.0,367,6,3127.99,2,4,5,245,At Risk,1,High Risk
13819.0,302,6,2642.35,2,4,4,244,At Risk,1,High Risk
13857.0,393,6,1001.01,2,4,3,243,At Risk,1,High Risk
13874.0,358,7,2049.15,2,4,4,244,At Risk,1,High Risk
13902.0,632,5,34095.26,1,4,5,145,At Risk,1,High Risk
13952.0,218,14,12823.521,2,5,5,255,At Risk,1,Medium Risk
13958.0,380,8,4709.2300000000005,2,4,5,245,At Risk,1,High Risk
13963.0,308,17,2860.57,2,5,4,254,At Risk,1,High Risk
14000.0,211,5,2046.3400000000001,2,4,4,244,At Risk,1,Medium Risk
14025.0,465,8,4057.9,1,4,5,145,At Risk,1,High Risk
14063.0,438,9,22710.2,1,5,5,155,At Risk,1,High Risk
14081.0,302,10,4867.57,2,5,5,255,At Risk,1,High Risk
14105.0,239,5,5988.83,2,4,5,245,At Risk,1,Medium Risk
14114.0,274,7,1364.09,2,4,4,244,At Risk,1,Medium Risk
14134.0,383,15,11123.35,2,5,5,255,At Risk,1,High Risk
14136.0,401,5,1570.81,2,4,4,244,At Risk,1,High Risk
14154.0,239,8,6460.7,2,4,5,245,At Risk,1,Medium Risk
14160.0,610,7,8421.47,1,4,5,145,At Risk,1,High Risk
14161.0,216,7,2996.93,2,4,5,245,At Risk,1,Medium Risk
14176.0,297,5,756.46,2,4,3,243,At Risk,1,Medium Risk
14186.0,427,5,1550.63,1,4,4,144,At Risk,1,High Risk
14195.0,202,6,2615.6,2,4,4,244,At Risk,1,Medium Risk
14247.0,278,5,753.56,2,4,3,243,At Risk,1,Medium Risk
14249.0,411,12,5400.461,1,5,5,155,At Risk,1,High Risk
14256.0,260,5,2460.79,2,4,4,244,At Risk,1,Medium Risk
14275.0,396,6,1189.3799999999999,2,4,3,243,At Risk,1,High Risk
14316.0,422,5,1370.34,1,4,4,144,At Risk,1,High Risk
14320.0,207,5,1346.75,2,4,4,244,At Risk,1,Medium Risk
14370.0,451,6,1175.78,1,4,3,143,At Risk,1,High Risk
14399.0,394,8,2108.21,2,4,4,244,At Risk,1,High Risk
14437.0,366,5,873.34,2,4,3,243,At Risk,1,High Risk
14439.0,320,5,9443.04,2,4,5,245,At Risk,1,High Risk
14442.0,205,7,5367.0199999999995,2,4,5,245,At Risk,1,Medium Risk
14454.0,376,5,977.3,2,4,3,243,At Risk,1,High Risk
14465.0,247,11,3925.85,2,5,5,255,At Risk,1,Medium Risk
14492.0,430,7,1921.91,1,4,4,144,At Risk,1,High Risk
14496.0,312,7,2363.89,2,4,4,244,At Risk,1,High Risk
14532.0,236,11,3845.78,2,5,5,255,At Risk,1,Medium Risk
14590.0,425,20,2993.37,1,5,5,155,At Risk,1,High Risk
14615.0,394,5,951.76,2,4,3,243,At Risk,1,High Risk
14616.0,243,5,527.78,2,4,2,242,At Risk,1,Medium Risk
14625.0,196,11,4497.88,2,5,5,255,At Risk,1,Medium Risk
14648.0,416,15,4466.65,1,5,5,155,At Risk,1,High Risk
14669.0,242,7,3216.78,2,4,5,245,At Risk,1,Medium Risk
14685.0,576,8,4536.64,1,4,5,145,At Risk,1,High Risk
14686.0,414,5,852.53,1,4,3,143,At Risk,1,High Risk
14693.0,265,7,1165.36,2,4,3,243,At Risk,1,Medium Risk
14740.0,197,11,4161.06,2,5,5,255,At Risk,1,Medium Risk
14770.0,232,8,3637.64,2,4,5,245,At Risk,1,Medium Risk
14817.0,200,7,3959.86,2,4,5,245,At Risk,1,Medium Risk
14821.0,367,7,1230.15,2,4,4,244,At Risk,1,High Risk
14828.0,197,13,9839.460000000001,2,5,5,255,At Risk,1,Medium Risk
14850.0,312,7,1770.96,2,4,4,244,At Risk,1,High Risk
14870.0,262,6,1838.95,2,4,4,244,At Risk,1,Medium Risk
14896.0,205,8,1826.0,2,4,4,244,At Risk,1,Medium Risk
14988.0,212,7,2038.65,2,4,4,244,At Risk,1,Medium Risk
14994.0,382,5,946.72,2,4,3,243,At Risk,1,High Risk
15003.0,473,6,1027.03,1,4,3,143,At Risk,1,High Risk
15013.0,488,10,1610.82,1,5,4,154,At Risk,1,High Risk
15015.0,501,13,2354.97,1,5,4,154,At Risk,1,High Risk
15032.0,256,8,11010.05,2,4,5,245,At Risk,1,Medium Risk
15057.0,275,5,3255.96,2,4,5,245,At Risk,1,Medium Risk
15079.0,213,11,3625.4,2,5,5,255,At Risk,1,Medium Risk
15100.0,334,7,2193.8999999999996,2,4,4,244,At Risk,1,High Risk
15107.0,311,9,824.35,2,5,3,253,At Risk,1,High Risk
15141.0,458,7,1388.47,1,4,4,144,At Risk,1,High Risk
15167.0,321,5,1627.62,2,4,4,244,At Risk,1,High Risk
15173.0,381,7,1494.6,2,4,4,244,At Risk,1,High Risk
15222.0,319,11,3550.91,2,5,5,255,At Risk,1,High Risk
15223.0,226,5,1417.95,2,4,4,244,At Risk,1,Medium Risk
15224.0,358,5,871.36,2,4,3,243,At Risk,1,High Risk
15235.0,218,16,2772.76,2,5,4,254,At Risk,1,Medium Risk
15266.0,338,5,852.21,2,4,3,243,At Risk,1,High Risk
15279.0,355,5,1580.54,2,4,4,244,At Risk,1,High Risk
15326.0,334,5,1700.52,2,4,4,244,At Risk,1,High Risk
15332.0,366,6,4892.68,2,4,5,245,At Risk,1,High Risk
15353.0,255,7,2794.4700000000003,2,4,4,244,At Risk,1,Medium Risk
15359.0,663,8,181.35,1,4,1,141,At Risk,1,High Risk
15369.0,492,11,6251.26,1,5,5,155,At Risk,1,High Risk
15381.0,214,5,1890.5700000000002,2,4,4,244,At Risk,1,Medium Risk
15413.0,692,5,6798.72,1,4,5,145,At Risk,1,High Risk
15420.0,434,6,743.0,1,4,3,143,At Risk,1,High Risk
15422.0,323,7,1619.97,2,4,4,244,At Risk,1,High Risk
15447.0,331,5,492.88,2,4,2,242,At Risk,1,High Risk
15456.0,283,10,2091.52,2,5,4,254,At Risk,1,Medium Risk
15538.0,538,6,3358.3999999999996,1,4,5,145,At Risk,1,High Risk
15580.0,377,8,1375.39,2,4,4,244,At Risk,1,High Risk
15590.0,382,5,1496.6,2,4,4,244,At Risk,1,High Risk
15607.0,337,9,1708.97,2,5,4,254,At Risk,1,High Risk
15633.0,509,13,4335.96,1,5,5,155,At Risk,1,High Risk
15638.0,379,6,2265.2,2,4,4,244,At Risk,1,High Risk
15658.0,190,8,2117.27,2,4,4,244,At Risk,1,Medium Risk
15661.0,317,8,1215.95,2,4,3,243,At Risk,1,High Risk
15715.0,556,5,658.02,1,4,3,143,At Risk,1,High Risk
15717.0,234,5,607.0,2,4,2,242,At Risk,1,Medium Risk
15732.0,212,10,1543.97,2,5,4,254,At Risk,1,Medium Risk
15751.0,461,11,1380.44,1,5,4,154,At Risk,1,High Risk
15759.0,218,7,830.9300000000001,2,4,3,243,At Risk,1,Medium Risk
15777.0,241,7,1762.61,2,4,4,244,At Risk,1,Medium Risk
15789.0,358,6,1962.01,2,4,4,244,At Risk,1,High Risk
15808.0,306,21,17180.25,2,5,5,255,At Risk,1,High Risk
15881.0,312,5,501.39000000000004,2,4,2,242,At Risk,1,High Risk
15882.0,199,8,1124.66,2,4,3,243,At Risk,1,Medium Risk
15890.0,395,5,535.65,2,4,2,242,At Risk,1,High Risk
15911.0,624,8,1700.24,1,4,4,144,At Risk,1,High Risk
15917.0,248,5,530.17,2,4,2,242,At Risk,1,Medium Risk
15945.0,365,4,646.27,2,4,3,243,At Risk,1,High Risk
15960.0,374,4,410.95,2,4,2,242,At Risk,1,High Risk
15972.0,456,5,1769.33,1,4,4,144,At Risk,1,High Risk
16004.0,475,5,2146.39,1,4,4,144,At Risk,1,High Risk
16010.0,246,11,1694.86,2,5,4,254,At Risk,1,Medium Risk
16032.0,456,6,1965.72,1,4,4,144,At Risk,1,High Risk
16034.0,196,6,911.3199999999999,2,4,3,243,At Risk,1,Medium Risk
16037.0,270,5,1509.34,2,4,4,244,At Risk,1,Medium Risk
16048.0,373,4,818.7900000000001,2,4,3,243,At Risk,1,High Risk
16065.0,365,8,1992.13,2,5,4,254,At Risk,1,High Risk
16072.0,288,4,4180.09,2,4,5,245,At Risk,1,Medium Risk
16087.0,389,5,1739.92,2,4,4,244,At Risk,1,High Risk
16096.0,264,4,1584.97,2,4,4,244,At Risk,1,Medium Risk
16105.0,249,5,2386.19,2,4,4,244,At Risk,1,Medium Risk
16124.0,317,4,1772.49,2,4,4,244,At Risk,1,High Risk
16125.0,367,14,4292.35,2,5,5,255,At Risk,1,High Risk
16130.0,422,4,987.48,1,4,3,143,At Risk,1,High Risk
16155.0,382,5,796.9,2,4,3,243,At Risk,1,High Risk
16158.0,522,9,628.32,1,5,3,153,At Risk,1,High Risk
16159.0,282,4,1232.79,2,4,4,244,At Risk,1,Medium Risk
16163.0,232,6,2407.98,2,4,4,244,At Risk,1,Medium Risk
16167.0,414,5,1386.1200000000001,1,4,4,144,At Risk,1,High Risk
16176.0,421,4,2052.69,1,4,4,144,At Risk,1,High Risk
16197.0,469,9,2016.71,1,5,4,154,At Risk,1,High Risk
16199.0,392,7,942.75,2,4,3,243,At Risk,1,High Risk
16202.0,361,9,2501.9900000000002,2,5,4,254,At Risk,1,High Risk
16226.0,203,5,672.1700000000001,2,4,3,243,At Risk,1,Medium Risk
16231.0,379,4,1074.47,2,4,3,243,At Risk,1,High Risk
16290.0,465,4,1957.7,1,4,4,144,At Risk,1,High Risk
16296.0,626,4,1313.67,1,4,4,144,At Risk,1,High Risk
16306.0,214,7,1124.72,2,4,3,243,At Risk,1,Medium Risk
16329.0,428,4,1664.92,1,4,4,144,At Risk,1,High Risk
16331.0,432,6,2037.7,1,4,4,144,At Risk,1,High Risk
16335.0,552,7,2753.52,1,4,4,144,At Risk,1,High Risk
16336.0,421,4,3517.69,1,4,5,145,At Risk,1,High Risk
16351.0,333,13,3330.0299999999997,2,5,5,255,At Risk,1,High Risk
16356.0,198,6,415.87,2,4,2,242,At Risk,1,Medium Risk
16387.0,323,5,882.46,2,4,3,243,At Risk,1,High Risk
16391.0,401,4,1052.26,2,4,3,243,At Risk,1,High Risk
16467.0,509,7,2869.16,1,4,4,144,At Risk,1,High Risk
16471.0,275,4,1189.98,2,4,3,243,At Risk,1,Medium Risk
16499.0,360,8,2578.34,2,5,4,254,At Risk,1,High Risk
16510.0,372,6,1777.5,2,4,4,244,At Risk,1,High Risk
16529.0,190,4,1986.8,2,4,4,244,At Risk,1,Medium Risk
16544.0,520,4,376.70000000000005,1,4,2,142,At Risk,1,High Risk
16546.0,291,5,5307.07,2,4,5,245,At Risk,1,Medium Risk
16565.0,364,4,773.05,2,4,3,243,At Risk,1,High Risk
16588.0,386,4,1361.28,2,4,4,244,At Risk,1,High Risk
16619.0,264,4,1938.33,2,4,4,244,At Risk,1,Medium Risk
16623.0,246,4,1015.24,2,4,3,243,At Risk,1,Medium Risk
16625.0,275,5,1654.03,2,4,4,244,At Risk,1,Medium Risk
16631.0,482,7,1892.52,1,4,4,144,At Risk,1,High Risk
16634.0,223,6,1649.81,2,4,4,244,At Risk,1,Medium Risk
16636.0,438,4,3802.04,1,4,5,145,At Risk,1,High Risk
16658.0,368,6,690.83,2,4,3,243,At Risk,1,High Risk
16661.0,540,4,932.76,1,4,3,143,At Risk,1,High Risk
16692.0,256,4,1914.6999999999998,2,4,4,244,At Risk,1,Medium Risk
16699.0,380,7,994.6,2,4,3,243,At Risk,1,High Risk
16702.0,415,4,1110.83,1,4,3,143,At Risk,1,High Risk
16707.0,400,4,533.41,2,4,2,242,At Risk,1,High Risk
16714.0,219,4,1497.33,2,4,4,244,At Risk,1,Medium Risk
16718.0,369,5,3006.08,2,4,5,245,At Risk,1,High Risk
16725.0,302,14,1688.26,2,5,4,254,At Risk,1,High Risk
16727.0,364,4,1377.77,2,4,4,244,At Risk,1,High Risk
16736.0,506,5,2956.56,1,4,5,145,At Risk,1,High Risk
16754.0,372,29,65500.07,2,5,5,255,At Risk,1,High Risk
16756.0,215,7,1312.3700000000001,2,4,4,244,At Risk,1,Medium Risk
16769.0,260,4,1117.05,2,4,3,243,At Risk,1,Medium Risk
16787.0,398,4,1017.53,2,4,3,243,At Risk,1,High Risk
16792.0,282,5,623.46,2,4,3,243,At Risk,1,Medium Risk
16797.0,393,5,1802.02,2,4,4,244,At Risk,1,High Risk
16812.0,361,4,2392.0,2,4,4,244,At Risk,1,High Risk
16823.0,227,7,2243.09,2,4,4,244,At Risk,1,Medium Risk
16827.0,393,5,392.13,2,4,2,242,At Risk,1,High Risk
16838.0,197,4,1159.61,2,4,3,243,At Risk,1,Medium Risk
16858.0,369,10,4292.59,2,5,5,255,At Risk,1,High Risk
16862.0,547,4,662.33,1,4,3,143,At Risk,1,High Risk
16889.0,195,6,2526.65,2,4,4,244,At Risk,1,Medium Risk
16926.0,371,5,1169.6100000000001,2,4,3,243,At Risk,1,High Risk
16943.0,212,5,1299.49,2,4,4,244,At Risk,1,Medium Risk
16946.0,383,5,1222.04,2,4,4,244,At Risk,1,High Risk
